0	0   193
0	0	194
0	0	195
0	0	196
0	0	197
0	0	198
0	0	199
0	0	200
0	0	201
0	0	202
0	0	203
0	0	204

0	3	85
0	3	86
0	3	87
0	3	88
0	3	89
0	3	90
0	3	91
0	3	92
0	3	93
0	3	94
0	3	95
0	3	96

1	1	73
1	1	74
1	1	75
1	1	76
1	1	77
1	1	78
1	1	79
1	1	80
1	1	81
1	1	82
1	1	83
1	1	84

1	2	169
1	2	170
1	2	171
1	2	172
1	2	173
1	2	174
1	2	175
1	2	176
1	2	177
1	2	178
1	2	179
1	2	180

3	1	169
3	1	170
3	1	171
3	1	172
3	1	173
3	1	174
3	1	175
3	1	176
3	1	177
3	1	178
3	1	179
3	1	180

4	3	73
4	3	72
4	3	75
4	3	76
4	3	77
4	3	78
4	3	79
4	3	80
4	3	81
4	3	82
4	3	83
4	3	84

5	0	169
5	0	170
5	0	171
5	0	172
5	0	173
5	0	174
5	0	175
5	0	176
5	0	177
5	0	178
5	0	179
5	0	180

5	0	217
5	0	218
5	0	219
5	0	220
5	0	221
5	0	222
5	0	223
5	0	224
5	0	225
5	0	226
5	0	227
5	0	228

5	1	169
5	1	170
5	1	171
5	1	172
5	1	173
5	1	174
5	1	175
5	1	176
5	1	177
5	1	178
5	1	179
5	1	180

5	1	181
5	1	182
5	1	183
5	1	184
5	1	185
5	1	186
5	1	187
5	1	188
5	1	189
5	1	190
5	1	191
5	1	192

8	2	169
8	2	170
8	2	171
8	2	172
8	2	173
8	2	174
8	2	175
8	2	176
8	2	177
8	2	178
8	2	179
8	2	180

10	1	145
10	1	146
10	1	147
10	1	148
10	1	149
10	1	150
10	1	151
10	1	152
10	1	153
10	1	154
10	1	155
10	1	156

11	3	217
11	3	218
11	3	219
11	3	220
11	3	221
11	3	222
11	3	223
11	3	224
11	3	225
11	3	226
11	3	227
11	3	228

12	1	217
12	1	218
12	1	219
12	1	220
12	1	221
12	1	222
12	1	223
12	1	224
12	1	225
12	1	226
12	1	227
12	1	228

12	2	181
12	2	182
12	2	183
12	2	184
12	2	185
12	2	186
12	2	187
12	2	188
12	2	189
12	2	190
12	2	191
12	2	192

15	1	133
15	1	134
15	1	135
15	1	136
15	1	137
15	1	138
15	1	139
15	1	140
15	1	141
15	1	142
15	1	143
15	1	144

17	2	85
17	2	86
17	2	87
17	2	88
17	2	89
17	2	90
17	2	91
17	2	92
17	2	93
17	2	94
17	2	95
17	2	96

18 	1 	193
18 	1 	194
18	1	195
18	1	196
18	1	197
18	1	198
18	1	199
18	1	200
18	1	201
18	1	202
18 	1	203
18  1	204

19	2	181
19	2	182
19	2	183
19	2	184
19	2	185
19	2	186
19	2	187
19	2	188
19	2	189
19	2	190
19	2	191
19	2	192

20	0	169
20	0	170
20	0	171
20	0	172
20	0	173
20	0	174
20	0	175
20	0	176
20	0	177
20	0	178
20	0	179
20	0	180

22	3	61
22	3	62
22	3	63
22	3	64
22	3	65
22	3	66
22	3	67
22	3	68
22	3	69
22	3	70
22	3	71
22	3	72

23	0	133
23	0	134
23	0	135
23	0	136
23	0	137
23	0	138
23	0	139
23	0	140
23	0	141
23	0	142
23	0	143
23	0	144

24	1	145
24	1	146
24	1	147
24	1	148
24	1	149
24	1	150
24	1	151
24	1	152
24	1	153
24	1	154
24	1	155
24	1	156

25	3	49
25	3	50
25	3	51
25	3	52
25	3	53
25	3	54
25	3	55
25	3	56
25	3	57
25	3	58
25 	3	59
25	3	60

26	0	169
26	0	170
26	0	171
26	0	172
26	0	173
26	0	174
26	0	175
26	0	176
26	0	177
26	0	178
26	0	179
26	0	180

26	0	229
26	0	230
26	0	231
26	0	232
26	0	233
26	0	234
26	0	235
26	0	236
26	0	237
26	0	238
26	0	239
26	0	240

27	1	217
27	1	218
27	1	219
27	1	220
27	1	221
27	1	222
27	1	223
27	1	224
27	1	225
27	1	226
27	1	227
27	1	228

28	0	61
28	0	62
28	0	63
28	0	64
28	0	65
28	0	66
28	0	67
28	0	68
28	0	69
28	0	70
28	0	71
28	0	72

28	0	181
28	0	182
28	0	183
28	0	184
28	0	185
28	0	186
28	0	187
28	0	188
28	0	189
28	0	190
28	0	191
28	0	192

28	2	85
28	2	86
28	2	87
28	2	88
28	2	89
28	2	90
28	2	91
28	2	92
28	2	93
28	2	94
28	2	95
28	2	96

29	1	169
29	1	170
29	1	171
29	1	172
29	1	173
29	1	174
29	1	175
29	1	176
29	1	177
29	1	178
29	1	179
29	1	180

29	2	193
29	2	194
29	2	195
29	2	196
29	2	197
29	2	198
29	2	199
29	2	200
29	2	201
29	2	202
29	2	203
29	2	204

31	1	73
31	1	74
31	1	75
31	1	76
31	1	77
31	1	78
31	1	79
31	1	80
31	1	81
31	1	82
31	1	83
31	1	84
